time,AQI
2021-09-05 00:00:00,37
2021-09-06 00:00:00,47
2021-09-07 00:00:00,50
2021-09-08 00:00:00,49
2021-09-09 00:00:00,59
2021-09-10 00:00:00,77
2021-09-11 00:00:00,77
2021-09-12 00:00:00,74
2021-09-13 00:00:00,69
2021-09-14 00:00:00,86
2021-09-15 00:00:00,63
2021-09-16 00:00:00,59
2021-09-17 00:00:00,53
2021-09-18 00:00:00,34
2021-09-19 00:00:00,21
2021-09-20 00:00:00,35
2021-09-21 00:00:00,42
2021-09-22 00:00:00,64
2021-09-23 00:00:00,48
2021-09-24 00:00:00,50
2021-09-25 00:00:00,24
2021-09-26 00:00:00,24
2021-09-27 00:00:00,50
2021-09-28 00:00:00,36
2021-09-29 00:00:00,43
2021-09-30 00:00:00,50
2021-08-01 00:00:00,55
2021-08-02 00:00:00,45
2021-08-03 00:00:00,54
2021-08-04 00:00:00,64
2021-08-05 00:00:00,43
2021-08-06 00:00:00,66
2021-08-07 00:00:00,53
2021-08-08 00:00:00,49
2021-08-09 00:00:00,55
2021-08-10 00:00:00,54
2021-08-11 00:00:00,62
2021-08-12 00:00:00,60
2021-08-13 00:00:00,59
2021-08-14 00:00:00,64
2021-08-15 00:00:00,66
2021-08-16 00:00:00,52
2021-08-17 00:00:00,51
2021-08-18 00:00:00,66
2021-08-19 00:00:00,64
2021-08-20 00:00:00,43
2021-08-21 00:00:00,44
2021-08-22 00:00:00,41
2021-08-23 00:00:00,34
2021-08-24 00:00:00,53
2021-08-25 00:00:00,54
2021-08-26 00:00:00,51
2021-08-27 00:00:00,43
2021-08-28 00:00:00,41
2021-08-29 00:00:00,26
2021-08-30 00:00:00,30
2021-08-31 00:00:00,22
2021-07-01 00:00:00,41
2021-07-02 00:00:00,45
2021-07-03 00:00:00,50
2021-07-04 00:00:00,63
2021-07-05 00:00:00,44
2021-07-06 00:00:00,42
2021-07-07 00:00:00,49
2021-07-08 00:00:00,63
2021-07-09 00:00:00,56
2021-07-10 00:00:00,64
2021-07-11 00:00:00,32
2021-07-12 00:00:00,31
2021-07-13 00:00:00,62
2021-07-14 00:00:00,49
2021-07-15 00:00:00,37
2021-07-16 00:00:00,40
2021-07-17 00:00:00,41
2021-07-18 00:00:00,25
2021-07-19 00:00:00,26
2021-07-20 00:00:00,28
2021-07-21 00:00:00,21
2021-07-22 00:00:00,19
2021-07-23 00:00:00,30
2021-07-24 00:00:00,35
2021-07-25 00:00:00,41
2021-07-26 00:00:00,48
2021-07-27 00:00:00,46
2021-07-28 00:00:00,30
2021-07-29 00:00:00,37
2021-07-30 00:00:00,51
2021-07-31 00:00:00,80
2021-06-01 00:00:00,81
2021-06-02 00:00:00,87
2021-06-03 00:00:00,60
2021-06-04 00:00:00,54
2021-06-05 00:00:00,87
2021-06-06 00:00:00,92
2021-06-07 00:00:00,101
2021-06-08 00:00:00,78
2021-06-09 00:00:00,85
2021-06-10 00:00:00,91
2021-06-11 00:00:00,101
2021-06-12 00:00:00,77
2021-06-13 00:00:00,46
2021-06-14 00:00:00,49
2021-06-15 00:00:00,49
2021-06-16 00:00:00,55
2021-06-17 00:00:00,34
2021-06-18 00:00:00,42
2021-06-19 00:00:00,74
2021-06-20 00:00:00,64
2021-06-21 00:00:00,85
2021-06-22 00:00:00,80
2021-06-23 00:00:00,78
2021-06-24 00:00:00,81
2021-06-25 00:00:00,70
2021-06-26 00:00:00,72
2021-06-27 00:00:00,50
2021-06-28 00:00:00,75
2021-06-29 00:00:00,52
2021-06-30 00:00:00,60
2021-05-01 00:00:00,65
2021-05-02 00:00:00,57
2021-05-03 00:00:00,57
2021-05-04 00:00:00,93
2021-05-05 00:00:00,64
2021-05-06 00:00:00,117
2021-05-07 00:00:00,210
2021-05-08 00:00:00,126
2021-05-09 00:00:00,106
2021-05-10 00:00:00,96
2021-05-11 00:00:00,66
2021-05-12 00:00:00,81
2021-05-13 00:00:00,76
2021-05-14 00:00:00,63
2021-05-15 00:00:00,65
2021-05-16 00:00:00,25
2021-05-17 00:00:00,50
2021-05-18 00:00:00,68
2021-05-19 00:00:00,80
2021-05-20 00:00:00,76
2021-05-21 00:00:00,73
2021-05-22 00:00:00,72
2021-05-23 00:00:00,64
2021-05-24 00:00:00,80
2021-05-25 00:00:00,89
2021-05-26 00:00:00,72
2021-05-27 00:00:00,76
2021-05-28 00:00:00,108
2021-05-29 00:00:00,92
2021-05-30 00:00:00,87
2021-05-31 00:00:00,86
2021-04-01 00:00:00,90
2021-04-02 00:00:00,75
2021-04-03 00:00:00,78
2021-04-04 00:00:00,53
2021-04-05 00:00:00,62
2021-04-06 00:00:00,72
